vnr,frequency,sum
122903,336,0.593044992034534
107219,336,0.593044992034534
25491,336,0.593044992034534
584979,335,0.594120972300734
17196,335,0.594120972300734
111496,335,0.594120972300734
23982,334,0.595193740685544
7120,334,0.595193740685544
494138,334,0.595193740685544
395723,333,0.595906778354489
466227,333,0.595906778354489
524710,332,0.596973122976514
52100,332,0.596973122976514
5988,332,0.596973122976514
10076,331,0.597327500556726
115409,330,0.598034114462887
164141,330,0.598034114462887
121046,329,0.598738587114788
120691,329,0.598738587114788
164595,328,0.600143249910067
537811,328,0.600143249910067
65264,328,0.600143249910067
39823,328,0.600143249910067
463273,327,0.600843440053445
466045,327,0.600843440053445
140327,326,0.60223953783168
428441,326,0.60223953783168
5600,326,0.60223953783168
4370,326,0.60223953783168
1786,325,0.603283399283964
10671,325,0.603283399283964
469957,325,0.603283399283964
586065,324,0.603977165664559
1908,324,0.603977165664559
460071,322,0.604321907600596
28209,320,0.605007108964147
77735,320,0.605007108964147
116509,319,0.606031699128081
416792,319,0.606031699128081
171884,319,0.606031699128081
130574,318,0.606372158555595
34253,317,0.607050936156363
59969,317,0.607050936156363
25090,316,0.607389254329616
113039,314,0.608733962005584
22796,314,0.608733962005584
3087,314,0.608733962005584
106260,314,0.608733962005584
3983,313,0.609069068297445
23641,312,0.609737139626907
10428,312,0.609737139626907
151007,311,0.610736034739709
69799,311,0.610736034739709
24253,311,0.610736034739709
23767,310,0.612063612381588
176974,310,0.612063612381588
137364,310,0.612063612381588
24273,310,0.612063612381588
15037,309,0.612725259948267
154253,309,0.612725259948267
459743,308,0.613384766260684
88260,308,0.613384766260684
93521,307,0.613713448789763
388389,306,0.614696284495606
142075,306,0.614696284495606
38370,306,0.614696284495606
101378,305,0.61534936704524
38406,305,0.61534936704524
174565,304,0.616000308340613
162885,304,0.616000308340613
56241,303,0.616649108381725
493700,303,0.616649108381725
550616,302,0.617619096562002
162808,302,0.617619096562002
43448,302,0.617619096562002
117564,301,0.619552649159771
174144,301,0.619552649159771
17834,301,0.619552649159771
90645,301,0.619552649159771
578815,301,0.619552649159771
12131,301,0.619552649159771
135434,298,0.619871696044675
24993,297,0.620825624817993
512606,297,0.620825624817993
581850,297,0.620825624817993
22199,296,0.622093247340562
154708,296,0.622093247340562
8066,296,0.622093247340562
144808,296,0.622093247340562
1191,295,0.623356587354608
58768,295,0.623356587354608
460303,295,0.623356587354608
160523,295,0.623356587354608
567263,294,0.623986116107371
4921,294,0.623986116107371
1937,293,0.624613503605872
486274,293,0.624613503605872
12898,292,0.625551372972232
20170,292,0.625551372972232
487579,292,0.625551372972232
511832,290,0.626793300443667
101307,290,0.626793300443667
487280,290,0.626793300443667
28589,290,0.626793300443667
21808,289,0.627412122925124
26076,289,0.627412122925124
13909,288,0.628337144765918
447441,288,0.628337144765918
14499,288,0.628337144765918
20129,287,0.628951684738852
427765,287,0.628951684738852
11204,286,0.629564083457526
541425,286,0.629564083457526
383794,285,0.630479469654144
490243,285,0.630479469654144
5711,285,0.630479469654144
404426,284,0.631695702074447
584856,284,0.631695702074447
512731,284,0.631695702074447
52929,284,0.631695702074447
73429,283,0.632907651986227
513549,283,0.632907651986227
5108,283,0.632907651986227
87759,283,0.632907651986227
189514,281,0.634111036880963
58040,281,0.634111036880963
508622,281,0.634111036880963
16998,281,0.634111036880963
22513,280,0.63471058807407
15176,280,0.63471058807407
93505,279,0.635606702982339
90159,279,0.635606702982339
504761,279,0.635606702982339
441535,278,0.637392509036093
452201,278,0.637392509036093
464370,278,0.637392509036093
21617,278,0.637392509036093
143412,278,0.637392509036093
505438,278,0.637392509036093
382333,277,0.637985636466416
463828,277,0.637985636466416
92577,276,0.63887211573051
14060,276,0.63887211573051
118281,276,0.63887211573051
171629,275,0.639460960652312
97133,275,0.639460960652312
414037,274,0.641221071654932
113030,274,0.641221071654932
137513,274,0.641221071654932
56732,274,0.641221071654932
74224,274,0.641221071654932
25595,274,0.641221071654932
192864,273,0.64297475889477
41848,273,0.64297475889477
13104,273,0.64297475889477
578823,273,0.64297475889477
39814,273,0.64297475889477
12310,273,0.64297475889477
1025,272,0.644139601212806
490029,272,0.644139601212806
20457,272,0.644139601212806
560367,272,0.644139601212806
559948,271,0.645590300974698
111062,271,0.645590300974698
148263,271,0.645590300974698
81964,271,0.645590300974698
135913,271,0.645590300974698
12630,270,0.646457508950442
560235,270,0.646457508950442
73022,270,0.646457508950442
13660,269,0.64789750244103
162841,269,0.64789750244103
149732,269,0.64789750244103
9894,269,0.64789750244103
90118,269,0.64789750244103
388330,268,0.648471358583003
41951,268,0.648471358583003
122762,266,0.649895292666632
461393,266,0.649895292666632
14028,266,0.649895292666632
53991,266,0.649895292666632
552232,266,0.649895292666632
422162,265,0.650746441235418
171215,265,0.650746441235418
90623,265,0.650746441235418
143727,264,0.651877023485277
503755,264,0.651877023485277
479626,264,0.651877023485277
274,264,0.651877023485277
489591,263,0.652721748291279
391268,263,0.652721748291279
27946,263,0.652721748291279
449595,262,0.653282756907686
81216,262,0.653282756907686
154484,261,0.654679925313051
23802,261,0.654679925313051
174433,261,0.654679925313051
41103,261,0.654679925313051
167577,261,0.654679925313051
10127,260,0.655793377528821
1628,260,0.655793377528821
510553,260,0.655793377528821
593269,260,0.655793377528821
136499,259,0.657457132089692
446088,259,0.657457132089692
155390,259,0.657457132089692
28870,259,0.657457132089692
468447,259,0.657457132089692
14679,259,0.657457132089692
8584,258,0.657733353889374
23949,257,0.658283656234475
504092,257,0.658283656234475
117580,256,0.659105897870736
60905,256,0.659105897870736
8055,256,0.659105897870736
534024,255,0.659651917707316
2284,255,0.659651917707316
103416,254,0.66182743203659
162896,254,0.66182743203659
423442,254,0.66182743203659
579151,254,0.66182743203659
65466,254,0.66182743203659
424309,254,0.66182743203659
27938,254,0.66182743203659
38729,254,0.66182743203659
490797,253,0.663181775356733
136143,253,0.663181775356733
42978,253,0.663181775356733
38901,253,0.663181775356733
375884,253,0.663181775356733
100453,252,0.664800563578121
414680,252,0.664800563578121
503342,252,0.664800563578121
374835,252,0.664800563578121
74215,252,0.664800563578121
51622,252,0.664800563578121
20826,251,0.665606745807424
6215,251,0.665606745807424
454165,251,0.665606745807424
12933,250,0.666945029720609
446195,250,0.666945029720609
76137,250,0.666945029720609
4171,250,0.666945029720609
5757,250,0.666945029720609
22110,249,0.668011374342634
59669,249,0.668011374342634
77719,249,0.668011374342634
411918,249,0.668011374342634
453175,248,0.668807920927762
23835,248,0.668807920927762
8606,248,0.668807920927762
559021,247,0.669336810730253
122687,247,0.669336810730253
525220,246,0.670390307826712
60913,246,0.670390307826712
41012,246,0.670390307826712
76079,246,0.670390307826712
431783,245,0.670652611473696
516955,244,0.671175077513404
111955,244,0.671175077513404
585141,243,0.671955564691573
20741,243,0.671955564691573
24187,243,0.671955564691573
139287,242,0.672732839988351
22939,242,0.672732839988351
51761,242,0.672732839988351
102319,241,0.673506903403737
159640,241,0.673506903403737
40543,241,0.673506903403737
19239,240,0.674277754937732
471425,240,0.674277754937732
13646,240,0.674277754937732
584797,239,0.675045394590335
8102,239,0.675045394590335
92869,239,0.675045394590335
428672,238,0.676064631618617
440123,238,0.676064631618617
399510,238,0.676064631618617
479352,238,0.676064631618617
454199,237,0.677333324768316
95836,237,0.677333324768316
55313,237,0.677333324768316
40261,237,0.677333324768316
75358,237,0.677333324768316
415331,236,0.67935466879079
441444,236,0.67935466879079
1463,236,0.67935466879079
116160,236,0.67935466879079
58956,236,0.67935466879079
101287,236,0.67935466879079
79969,236,0.67935466879079
485393,236,0.67935466879079
45127,235,0.680612655669184
76033,235,0.680612655669184
90779,235,0.680612655669184
4193,235,0.680612655669184
444315,235,0.680612655669184
61424,234,0.681113709166281
3228,234,0.681113709166281
60097,233,0.683109358137622
24336,233,0.683109358137622
438788,233,0.683109358137622
18005,233,0.683109358137622
101296,233,0.683109358137622
5685,233,0.683109358137622
128058,233,0.683109358137622
14785,233,0.683109358137622
151029,232,0.684599671103345
128686,232,0.684599671103345
114173,232,0.684599671103345
11960,232,0.684599671103345
134544,232,0.684599671103345
89094,232,0.684599671103345
24366,230,0.686569625023554
23886,230,0.686569625023554
102863,230,0.686569625023554
17327,230,0.686569625023554
80942,230,0.686569625023554
53462,230,0.686569625023554
172601,230,0.686569625023554
469932,230,0.686569625023554
86625,229,0.686814798636449
84301,228,0.687547107593744
124675,228,0.687547107593744
516187,228,0.687547107593744
189522,227,0.688762269386916
97881,227,0.688762269386916
47769,227,0.688762269386916
59650,227,0.688762269386916
15718,227,0.688762269386916
431759,226,0.689730116312932
438457,226,0.689730116312932
570796,226,0.689730116312932
505610,226,0.689730116312932
527879,225,0.690211898521678
94314,225,0.690211898521678
452219,224,0.691171180430649
102769,224,0.691171180430649
81861,224,0.691171180430649
528851,224,0.691171180430649
438333,223,0.692842429381435
612,223,0.692842429381435
5239,223,0.692842429381435
5501,223,0.692842429381435
118331,223,0.692842429381435
502047,223,0.692842429381435
4612,223,0.692842429381435
11215,222,0.694030825496343
37754,222,0.694030825496343
13978,222,0.694030825496343
34589,222,0.694030825496343
34471,222,0.694030825496343
21502,221,0.694267434092194
95364,220,0.694974047998356
45343,220,0.694974047998356
536896,220,0.694974047998356
534141,219,0.695677450023126
580431,219,0.695677450023126
5932,219,0.695677450023126
3733,218,0.696844433595423
595462,218,0.696844433595423
462051,218,0.696844433595423
590497,218,0.696844433595423
38455,218,0.696844433595423
96387,217,0.698703042294055
551572,217,0.698703042294055
170273,217,0.698703042294055
64281,217,0.698703042294055
411033,217,0.698703042294055
118349,217,0.698703042294055
41942,217,0.698703042294055
14725,217,0.698703042294055
488213,216,0.700321830515443
11209,216,0.700321830515443
11211,216,0.700321830515443
17350,216,0.700321830515443
401949,216,0.700321830515443
53787,216,0.700321830515443
467431,216,0.700321830515443
95893,215,0.701242569847715
151532,215,0.701242569847715
160461,215,0.701242569847715
5028,215,0.701242569847715
166975,214,0.702388140877401
374025,214,0.702388140877401
446039,214,0.702388140877401
533646,214,0.702388140877401
445973,214,0.702388140877401
20895,213,0.703300315192628
29561,213,0.703300315192628
92817,213,0.703300315192628
54700,213,0.703300315192628
166919,212,0.703981234047656
11314,212,0.703981234047656
472756,212,0.703981234047656
25142,211,0.704207136372202
110597,210,0.704656799767032
53405,210,0.704656799767032
10564,209,0.705104321907601
136853,209,0.705104321907601
454686,208,0.706217774123371
45442,208,0.706217774123371
451328,208,0.706217774123371
505040,208,0.706217774123371
42739,208,0.706217774123371
537649,207,0.706661013755418
2627,207,0.706661013755418
23160,206,0.708204858077668
78188,206,0.708204858077668
6069,206,0.708204858077668
157339,206,0.708204858077668
137927,206,0.708204858077668
180695,206,0.708204858077668
108845,206,0.708204858077668
4976,205,0.708863293762955
451369,205,0.708863293762955
76088,205,0.708863293762955
24481,204,0.710173741370746
90076,204,0.710173741370746
579193,204,0.710173741370746
184309,204,0.710173741370746
577494,204,0.710173741370746
3214,204,0.710173741370746
546325,203,0.711695102523255
451401,203,0.711695102523255
516013,203,0.711695102523255
4205,203,0.711695102523255
517888,203,0.711695102523255
5812,203,0.711695102523255
49528,203,0.711695102523255
162354,202,0.712343902564367
5700,202,0.712343902564367
2208,202,0.712343902564367
455742,201,0.712989490724087
146563,201,0.712989490724087
580407,201,0.712989490724087
73684,200,0.714060117854635
1450,200,0.714060117854635
573790,200,0.714060117854635
9630,200,0.714060117854635
9707,200,0.714060117854635
24414,199,0.715338446648509
13802,199,0.715338446648509
112441,199,0.715338446648509
507962,199,0.715338446648509
41855,199,0.715338446648509
13496,199,0.715338446648509
23738,198,0.716186383335903
162541,198,0.716186383335903
93419,198,0.716186383335903
533681,198,0.716186383335903
23212,197,0.717451864604211
177857,197,0.717451864604211
7099,197,0.717451864604211
110579,197,0.717451864604211
449611,197,0.717451864604211
17982,197,0.717451864604211
142869,196,0.718081393356973
7330,196,0.718081393356973
117227,196,0.718081393356973
93252,195,0.719542799390172
55324,195,0.719542799390172
529016,195,0.719542799390172
77727,195,0.719542799390172
5577,195,0.719542799390172
116073,195,0.719542799390172
469408,195,0.719542799390172
139246,193,0.721195847679738
441428,193,0.721195847679738
413047,193,0.721195847679738
67025,193,0.721195847679738
17262,193,0.721195847679738
7298,193,0.721195847679738
77698,193,0.721195847679738
517938,193,0.721195847679738
35683,192,0.722429210134129
19666,192,0.722429210134129
31849,192,0.722429210134129
123374,192,0.722429210134129
63784,192,0.722429210134129
25628,192,0.722429210134129
478421,191,0.723042679479933
156034,191,0.723042679479933
13068,191,0.723042679479933
453571,190,0.724670032718366
115364,190,0.724670032718366
466169,190,0.724670032718366
419945,190,0.724670032718366
136481,190,0.724670032718366
17387,190,0.724670032718366
494682,190,0.724670032718366
168971,190,0.724670032718366
151928,189,0.726491169467428
436030,189,0.726491169467428
54309,189,0.726491169467428
158733,189,0.726491169467428
529008,189,0.726491169467428
6789,189,0.726491169467428
90829,189,0.726491169467428
373530,189,0.726491169467428
49395,189,0.726491169467428
1239,188,0.7272962810696
438762,188,0.7272962810696
163493,188,0.7272962810696
517343,188,0.7272962810696
512491,187,0.729298353803725
1194,187,0.729298353803725
382473,187,0.729298353803725
167829,187,0.729298353803725
