varenr,Frequency,,,
16307,168,,,
42879,168,,,
52975,168,,,
59063,167,,,
9386,167,,,
5733,166,,,
503284,166,,,
409977,166,,,
14717,166,,,
453480,165,,,
35808,165,,,
578799,165,,,
528315,165,,,
586602,164,,,
18898,164,,,
593434,164,,,
518050,164,,,
4298,164,,,
11008,163,,,
141663,163,,,
60830,163,,,
43856,163,,,
445759,163,,,
2294,163,,,
526798,162,,,
24973,162,,,
116342,162,,,
570242,162,,,
77693,162,,,
63500,162,,,
115048,161,,,
33924,161,,,
593384,161,,,
47340,160,,,
10356,160,,,
55279,160,,,
530188,160,,,
155515,160,,,
468082,160,,,
570457,159,,,
6606,159,,,
118315,159,,,
11978,158,,,
443143,158,,,
483663,158,,,
116331,157,,,
68445,157,,,
31999,157,,,
503144,157,,,
37531,157,,,
35064,156,,,
24514,156,,,
13901,156,,,
35485,156,,,
137521,156,,,
545194,156,,,
91842,156,,,
75291,156,,,
75267,156,,,
63374,156,,,
418095,156,,,
496810,156,,,
427245,155,,,
93178,155,,,
22807,155,,,
30072,155,,,
7133,155,,,
13668,154,,,
87914,154,,,
29078,154,,,
426189,154,,,
411751,154,,,
146530,154,,,
566182,154,,,
323,154,,,
16165,154,,,
147512,154,,,
15448,154,,,
3310,154,,,
14760,154,,,
504183,154,,,
13546,154,,,
34461,153,,,
495168,153,,,
66424,153,,,
570838,153,,,
40032,153,,,
14187,153,,,
130013,153,,,
490839,152,,,
17572,152,,,
77689,152,,,
455279,152,,,
154377,152,,,
27877,152,,,
110976,152,,,
84194,151,,,
382465,151,,,
453993,151,,,
198303,151,,,
7548,151,,,
7600,151,,,
28986,151,,,
553339,151,,,
71205,150,,,
113704,150,,,
155465,150,,,
479238,150,,,
25513,150,,,
504225,150,,,
459859,150,,,
85269,150,,,
503466,149,,,
50914,148,,,
384941,148,,,
45015,148,,,
493908,148,,,
505032,148,,,
543124,148,,,
13302,148,,,
567685,148,,,
45162,147,,,
123787,147,,,
575191,147,,,
87342,147,,,
117820,146,,,
503722,146,,,
116368,146,,,
488650,146,,,
17223,146,,,
76061,146,,,
39415,146,,,
562074,145,,,
81134,145,,,
438218,145,,,
558874,145,,,
7952,145,,,
5390,145,,,
192382,145,,,
384636,144,,,
46925,144,,,
41178,144,,,
411496,144,,,
472229,144,,,
6865,144,,,
183996,144,,,
145698,144,,,
15887,144,,,
541417,144,,,
155150,144,,,
86772,143,,,
164275,143,,,
561084,143,,,
22811,143,,,
569509,143,,,
378943,143,,,
163089,142,,,
57554,142,,,
185454,142,,,
148452,142,,,
120907,142,,,
23661,141,,,
479527,141,,,
415885,141,,,
7129,141,,,
81834,141,,,
170262,141,,,
171660,141,,,
18990,141,,,
99135,141,,,
75333,141,,,
129916,140,,,
526962,140,,,
166886,140,,,
11637,140,,,
126938,140,,,
7144,140,,,
567511,140,,,
36145,140,,,
85290,140,,,
118125,140,,,
3939,139,,,
502690,139,,,
561035,139,,,
462358,139,,,
18233,139,,,
93799,139,,,
8612,139,,,
198838,138,,,
106443,138,,,
504266,138,,,
137554,137,,,
56481,137,,,
6121,137,,,
36459,136,,,
515833,136,,,
22870,136,,,
79842,136,,,
184671,136,,,
6579,136,,,
61070,136,,,
74760,135,,,
166875,135,,,
135244,135,,,
426312,135,,,
426197,135,,,
100198,135,,,
51040,135,,,
87445,135,,,
192831,134,,,
48923,134,,,
95232,134,,,
141515,134,,,
152058,134,,,
20118,134,,,
100015,134,,,
7155,134,,,
534,134,,,
434209,134,,,
473512,134,,,
155472,134,,,
39406,134,,,
542738,134,,,
552927,133,,,
174664,133,,,
11913,133,,,
173419,133,,,
145466,133,,,
161918,133,,,
7986,133,,,
4006,133,,,
77701,133,,,
24059,133,,,
418731,132,,,
537275,132,,,
272,132,,,
18840,132,,,
492405,132,,,
144378,132,,,
12078,132,,,
10011,131,,,
18011,131,,,
162797,131,,,
434233,131,,,
117135,131,,,
129308,131,,,
373324,131,,,
144409,131,,,
20356,130,,,
78013,130,,,
8383,130,,,
156109,130,,,
7515,130,,,
480343,130,,,
13994,129,,,
102277,129,,,
22600,129,,,
7039,129,,,
74261,129,,,
14595,129,,,
494559,129,,,
34348,128,,,
23581,128,,,
10472,128,,,
117796,128,,,
59824,128,,,
468915,128,,,
534727,128,,,
21614,128,,,
451385,128,,,
29021,128,,,
20713,128,,,
240,128,,,
17475,128,,,
5066,128,,,
157929,128,,,
88781,128,,,
85278,128,,,
12516,127,,,
10005,127,,,
84256,127,,,
540989,127,,,
130617,127,,,
24991,127,,,
20159,127,,,
56190,127,,,
81319,127,,,
19541,127,,,
567529,127,,,
7625,127,,,
111651,127,,,
25020,127,,,
52952,127,,,
553206,127,,,
380956,126,,,
125375,126,,,
8452,126,,,
181099,126,,,
5025,126,,,
64179,126,,,
384446,126,,,
178004,126,,,
470708,126,,,
108853,126,,,
465526,125,,,
21033,125,,,
174532,125,,,
560417,125,,,
490813,125,,,
135723,125,,,
495127,125,,,
136695,125,,,
